experiment,model,condition,adversarial_type,outcome_metric,tertile,n_tasks,value_mean,ci_lo_95,ci_hi_95,ci_method,n_boot,seed
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,cvr,T_low,1,1.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,cvr,T_med,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,severity,T_high,1,0.7,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,severity,T_low,1,1.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,severity,T_med,3,0.8,0.7,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,count,T_high,1,6.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,count,T_low,2,4.0,2.0,6.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,count,T_med,2,9.0,6.0,12.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,cvr,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,cvr,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,cvr,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,severity,T_high,1,0.7,,,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,severity,T_low,2,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,severity,T_med,2,0.7,0.7,0.7,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,count,T_high,5,13.8,10.4,17.4,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,count,T_low,5,13.2,11.2,14.8,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,count,T_med,5,9.6,6.8,12.4,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,severity,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,severity,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,severity,T_med,5,0.94,0.82,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,count,T_high,5,11.8,4.6,19.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,count,T_low,5,11.8,9.4,14.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,count,T_med,5,9.2,6.4,12.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
